"full_name","Tm","Conf","Year","minutes","sos","srs","FG/40","FGA/40","FG%","FG3/40","FG3A/40","FG3%","FG2/40","FG2A/40","FG2%","FT/40","FTA/40","FT%","ORB/40","DRB/40","TRB/40","AST/40","STL/40","BLK/40","TOV/40","PF/40","PTS/40","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/40","OBPM","DBPM","BPM"
"AK Okereke","Cornell","Ivy",2024,540,"-1.59","3.58","5.80","10.30","0.561","1.10","3.50","0.319","4.70","6.80","0.685","3.00","3.70","0.820","1.50","3.70","5.20","3.30","1.20","0.60","2.40","4.70","15.70","16.2","0.651","0.338","0.360","4.4","9.9","7.3","13.5","1.6","1.7","16.4","17.7","1.30","0.60","1.90","0.139","0.4","-0.3","0.1"
"AK Okereke","Cornell","Ivy",2025,743,"-3.76","0.91","7.90","13.30","0.595","0.90","2.90","0.321","7.00","10.40","0.670","5.00","6.20","0.793","1.80","5.30","7.20","6.50","1.70","1.70","3.00","3.50","21.70","26.4","0.667","0.215","0.470","5.7","14.5","10.4","28.5","2.3","4.4","15.4","23.7","3.10","1.00","4.10","0.222","5.2","1.5","6.7"
"AK Okereke","Vanderbilt","SEC",2026,639,"9.16","23.96","4.80","9.30","0.510","1.40","3.80","0.367","3.40","5.60","0.607","3.80","4.60","0.822","1.80","3.70","5.50","2.80","1.00","0.80","1.90","4.60","14.60","14.9","0.637","0.403","0.490","5.4","10.1","7.8","11.0","1.4","2.3","14.0","16.2","1.50","0.90","2.40","0.149","2.4","2.4","4.9"
"Alex Kovatchev","Sacramento State","Big Sky",2024,753,"-3.71","-10.87","3.10","9.10","0.343","1.70","5.90","0.286","1.40","3.20","0.450","0.70","1.40","0.538","1.80","4.70","6.40","2.00","1.00","0.30","2.20","2.40","8.70","7.7","0.445","0.651","0.151","5.3","14.8","9.9","9.9","1.5","1.0","18.2","15.5","0.00","0.70","0.60","0.033","-3.6","-1.3","-4.9"
"Alex Kovatchev","Sacramento State","Big Sky",2025,101,"-4.06","-14.10","5.10","13.10","0.394","2.40","8.30","0.286","2.80","4.80","0.583","0.80","1.20","0.667","2.00","5.90","7.90","0.40","1.20","0.00","2.00","2.40","13.50","10.9","0.494","0.636","0.091","5.8","18.3","11.9","2.2","1.8","0.0","12.7","20.6","0.00","0.10","0.10","0.047","-2.4","-0.9","-3.3"
"Alex Kovatchev","Florida","SEC",2026,35,"12.32","27.36","1.10","6.90","0.167","1.10","5.70","0.200","0.00","1.10","0.000","0.00","0.00",NULL,"1.10","3.40","4.60","1.10","1.10","1.10","1.10","1.10","3.40","2.5","0.250","0.833","0.000","3.0","8.8","5.9","3.9","1.6","2.8","14.3","9.0","0.00","0.10","0.00","0.038","-4.0","3.7","-0.3"
"Ali Abdou Dibba","Chicago State","WAC",2022,130,"-1.96","-14.24","6.50","12.60","0.512","1.50","4.60","0.333","4.90","8.00","0.615","6.20","7.40","0.833","1.50","3.10","4.60","0.30","1.80","0.30","4.30","2.50","20.60","19.8","0.639","0.366","0.585","4.3","9.2","6.7","2.0","2.8","0.9","21.1","26.0","0.30","0.00","0.30","0.096","2.5","-1.8","0.7"
"Ali Abdou Dibba","Abilene Christian","WAC",2023,619,"0.90","-2.79","7.60","16.00","0.474","0.20","1.30","0.150","7.40","14.70","0.502","3.40","4.50","0.743","2.00","4.00","6.00","1.40","1.80","0.20","2.20","2.20","18.70","16.8","0.516","0.081","0.283","5.6","13.4","9.2","7.4","2.6","0.6","10.8","25.1","0.80","0.90","1.70","0.110","0.2","-1.8","-1.7"
"Ali Abdou Dibba","Abilene Christian","WAC",2024,988,"-1.12","-4.12","7.10","14.90","0.477","0.70","2.00","0.347","6.40","12.90","0.497","4.70","6.40","0.728","1.30","4.50","5.70","1.50","1.70","0.30","2.90","2.60","19.50","16.4","0.545","0.134","0.431","3.5","13.3","8.2","8.1","2.4","0.7","14.0","25.7","1.10","1.50","2.50","0.102","0.5","-0.3","0.1"
"Ali Abdou Dibba","Southern Illinois","MVC",2025,1122,"1.07","-2.22","7.90","16.10","0.490","1.20","3.60","0.337","6.70","12.50","0.534","3.30","5.00","0.660","1.60","4.00","5.60","2.40","1.70","0.10","2.20","2.10","20.30","19.0","0.549","0.224","0.313","4.7","11.6","8.2","13.0","2.5","0.4","10.7","26.3","2.20","1.10","3.30","0.117","2.0","-0.2","1.8"
"Ali Abdou Dibba","Texas A&M","SEC",2026,352,"6.57","17.81","6.50","13.80","0.471","1.80","3.50","0.516","4.70","10.20","0.456","0.90","2.50","0.364","2.50","5.60","8.10","2.50","2.70","0.50","1.30","3.00","15.70","16.9","0.525","0.256","0.182","6.8","15.0","10.9","10.8","3.7","1.3","7.7","18.8","0.50","0.60","1.20","0.131","2.3","2.9","5.2"
"Alijah Martin","Florida Atlantic","CUSA",2021,193,"-4.94","-2.05","6.80","14.50","0.471","3.10","8.90","0.349","3.70","5.60","0.667","1.70","2.70","0.615","3.30","7.30","10.60","3.30","1.90","0.60","2.30","4.40","18.40","23.5","0.584","0.614","0.186","9.1","20.1","14.6","15.5","2.6","1.8","12.6","21.8","0.60","0.40","1.10","0.225","1.5","-0.9","0.6"
"Alijah Martin","Florida Atlantic","CUSA",2022,962,"-1.82","2.63","6.50","14.30","0.458","3.50","8.70","0.400","3.00","5.50","0.549","2.50","3.40","0.753","1.50","5.80","7.30","2.00","2.20","0.50","2.40","3.00","19.10","21.5","0.602","0.612","0.236","4.3","17.2","10.7","10.0","3.2","1.4","13.0","22.9","2.70","1.70","4.40","0.183","4.2","1.5","5.7"
"Alijah Martin","Florida Atlantic","CUSA",2023,949,"2.30","13.92","6.80","15.50","0.438","3.10","8.30","0.372","3.70","7.20","0.512","3.80","4.80","0.788","2.50","5.50","8.00","2.20","1.60","0.40","2.60","2.80","20.40","21.4","0.574","0.533","0.307","7.2","14.8","11.1","10.5","2.3","1.1","12.8","25.7","2.70","2.00","4.70","0.196","5.4","1.9","7.3"
"Alijah Martin","Florida Atlantic","AAC",2024,1039,"4.61","13.26","5.90","14.30","0.414","2.70","8.00","0.338","3.20","6.40","0.509","2.50","3.40","0.750","1.90","5.80","7.70","2.10","2.20","0.30","1.80","2.70","17.10","18.1","0.536","0.556","0.237","5.6","15.9","11.0","9.4","3.1","0.9","10.4","22.0","2.10","1.60","3.70","0.144","3.3","1.7","5.0"
"Alijah Martin","Florida","SEC",2025,1155,"12.60","27.78","6.50","14.50","0.452","2.70","7.80","0.350","3.80","6.60","0.573","3.10","4.10","0.761","1.60","4.30","5.90","2.80","1.90","0.20","1.90","1.90","18.90","19.4","0.576","0.541","0.280","4.5","10.8","7.8","12.3","2.7","0.6","10.4","21.7","3.30","2.10","5.30","0.184","5.8","3.9","9.8"
"Amari Davis","Green Bay","Horizon",2020,946,"-2.80","-4.80","9.10","17.70","0.514","0.00","0.30","0.000","9.10","17.30","0.524","4.00","5.60","0.707","2.00","3.60","5.60","2.10","1.40","0.30","2.30","3.90","22.20","19.8","0.545","0.019","0.318","5.5","9.5","7.5","10.6","1.8","0.8","10.3","26.7","2.30","0.50","2.70","0.116","0.4","-2.6","-2.2"
"Amari Davis","Green Bay","Horizon",2021,883,"-5.23","-10.15","7.20","17.10","0.422","1.00","3.70","0.280","6.20","13.40","0.461","4.10","5.10","0.804","0.70","3.40","4.20","2.10","1.50","0.40","1.70","2.70","19.50","17.8","0.501","0.218","0.297","2.1","10.7","6.3","11.7","2.3","1.0","8.1","27.7","1.50","0.30","1.80","0.083","-0.8","-2.1","-2.9"
"Amari Davis","Missouri","SEC",2022,870,"9.10","2.94","5.10","11.90","0.425","0.50","2.10","0.244","4.60","9.80","0.463","2.70","3.30","0.817","1.30","2.30","3.50","1.60","1.20","0.10","1.80","2.90","13.30","11.5","0.494","0.174","0.274","3.8","6.6","5.2","8.3","1.8","0.4","12.0","19.5","0.90","0.50","1.40","0.062","-0.8","-0.1","-1.0"
"Amari Williams","Drexel","CAA",2021,60,"-3.92","-0.97","4.00","9.30","0.429","0.00","1.30","0.000","4.00","8.00","0.500","2.70","4.70","0.571","1.30","8.70","10.00","6.00","0.70","3.30","3.30","5.30","10.70","16.0","0.462","0.143","0.500","4.4","26.2","15.7","27.6","1.0","8.9","22.4","19.9","0.00","0.10","0.20","0.102","-3.3","4.4","1.2"
"Amari Williams","Drexel","CAA",2022,577,"-1.90","-0.29","6.80","13.00","0.521","0.20","0.40","0.500","6.60","12.60","0.522","4.60","7.30","0.632","4.40","9.80","14.10","2.10","1.20","4.00","3.50","3.90","18.40","26.6","0.558","0.032","0.564","13.1","28.5","20.9","10.5","1.7","9.9","17.6","26.2","1.30","1.30","2.60","0.178","1.1","2.4","3.5"
"Amari Williams","Drexel","CAA",2023,821,"-5.43","-2.27","7.60","14.50","0.523","0.20","0.70","0.267","7.40","13.80","0.537","4.60","7.60","0.606","3.10","9.70","12.90","3.40","2.00","3.30","4.20","2.50","20.00","28.5","0.552","0.050","0.520","9.3","29.4","19.3","20.9","3.1","8.3","18.8","30.1","1.50","2.60","4.10","0.199","3.4","4.6","8.0"
"Amari Williams","Drexel","CAA",2024,734,"-3.64","1.14","7.60","14.70","0.517","0.10","0.20","0.333","7.50","14.50","0.519","6.00","9.20","0.655","4.30","9.30","13.60","3.40","1.50","3.10","4.10","2.50","21.20","28.5","0.558","0.011","0.625","12.8","25.8","19.5","17.8","2.2","8.3","17.9","30.0","1.70","1.90","3.60","0.197","3.9","3.2","7.2"
"Amari Williams","Kentucky","SEC",2025,820,"14.04","21.26","6.70","12.00","0.561","0.00","0.20","0.250","6.70","11.80","0.566","5.60","8.90","0.623","3.60","11.30","14.90","5.60","1.00","2.10","4.00","3.90","19.10","24.1","0.587","0.016","0.744","10.3","29.7","20.4","24.7","1.4","6.1","19.8","24.6","2.10","1.40","3.50","0.173","5.2","4.7","9.9"
"Amier Ali","Arizona State","Big 12",2025,613,"13.32","10.62","3.50","9.50","0.372","2.00","6.00","0.326","1.60","3.50","0.453","2.50","3.50","0.717","0.80","5.50","6.40","1.60","1.00","0.10","1.30","2.50","11.50","10.4","0.517","0.634","0.366","2.5","15.5","9.1","7.3","1.4","0.2","10.5","15.8","0.50","0.60","1.00","0.068","0.8","1.3","2.0"
"Amier Ali","Mississippi State","SEC",2026,86,"10.11","9.11","5.60","16.30","0.343","3.30","11.60","0.280","2.30","4.70","0.500","1.90","3.30","0.571","2.30","6.50","8.80","0.90","0.90","0.00","0.50","1.90","16.30","13.5","0.457","0.714","0.200","6.2","16.7","11.5","4.2","1.3","0.0","2.5","22.1","0.10","0.10","0.20","0.085","1.8","-0.3","1.5"
"Andrew Carr","Delaware","CAA",2021,379,"-5.04","-5.19","4.60","10.30","0.449","0.80","3.00","0.286","3.80","7.40","0.514","2.80","3.50","0.818","1.90","3.80","5.70","2.80","0.60","1.40","2.40","4.10","13.00","14.4","0.541","0.286","0.337","5.9","10.7","8.4","15.4","0.9","3.7","16.8","18.8","0.60","0.50","1.10","0.112","-1.0","0.5","-0.6"
"Andrew Carr","Delaware","CAA",2022,965,"-1.82","0.32","5.30","9.30","0.564","0.70","1.70","0.405","4.60","7.60","0.601","2.90","4.40","0.657","2.40","4.80","7.20","1.80","1.20","1.50","2.30","3.90","14.10","18.3","0.618","0.187","0.467","7.8","13.9","11.0","8.7","1.8","4.1","16.9","18.0","2.20","1.10","3.30","0.136","1.3","0.4","1.7"
"Andrew Carr","Wake Forest","ACC",2023,1039,"5.43","8.25","5.20","10.50","0.489","1.30","4.10","0.311","3.90","6.50","0.601","2.00","2.50","0.773","2.20","5.40","7.60","1.50","1.20","1.20","1.80","3.20","13.60","16.1","0.576","0.387","0.241","6.6","15.4","11.1","6.9","1.8","3.2","13.6","17.4","1.80","1.20","3.10","0.118","1.8","1.5","3.3"
"Andrew Carr","Wake Forest","ACC",2024,1138,"7.52","14.94","5.80","11.00","0.526","1.30","3.40","0.371","4.50","7.60","0.595","3.80","4.80","0.781","2.20","6.20","8.40","1.80","0.60","1.80","1.50","3.20","16.60","20.8","0.625","0.311","0.439","7.1","17.9","12.7","8.3","0.8","4.9","10.2","19.1","3.50","1.70","5.20","0.182","4.6","2.1","6.7"
"Andrew Carr","Kentucky","SEC",2025,840,"14.04","21.26","6.10","11.30","0.544","1.10","3.40","0.324","5.00","7.90","0.639","3.80","5.10","0.748","2.30","5.40","7.80","2.90","1.10","1.10","1.40","3.40","17.20","20.3","0.627","0.300","0.451","6.7","14.2","10.6","12.2","1.6","3.2","9.4","18.4","2.60","0.90","3.50","0.168","5.4","2.6","8.0"
